IndicatorType,CountryName,MarketName,CurrencyCode,Date,Value,SourceOfTheData
Official,Syrian Arab Republic,,SYP,04/11/2008,46,Trading Economics
Official,Syrian Arab Republic,,SYP,05/11/2008,46,Trading Economics
Official,Syrian Arab Republic,,SYP,06/11/2008,46,Trading Economics
Official,Syrian Arab Republic,,SYP,07/11/2008,46,Trading Economics
Official,Syrian Arab Republic,,SYP,10/11/2008,46,Trading Economics
Official,Syrian Arab Republic,,SYP,11/11/2008,46,Trading Economics
Official,Syrian Arab Republic,,SYP,12/11/2008,46,Trading Economics
Official,Syrian Arab Republic,,SYP,13/11/2008,46,Trading Economics
Official,Syrian Arab Republic,,SYP,14/11/2008,46,Trading Economics
Official,Syrian Arab Republic,,SYP,17/11/2008,46,Trading Economics
Official,Syrian Arab Republic,,SYP,18/11/2008,46,Trading Economics
Official,Syrian Arab Republic,,SYP,19/11/2008,46,Trading Economics
Official,Syrian Arab Republic,,SYP,20/11/2008,46,Trading Economics
Official,Syrian Arab Republic,,SYP,21/11/2008,46,Trading Economics
Official,Syrian Arab Republic,,SYP,24/11/2008,46,Trading Economics
Official,Syrian Arab Republic,,SYP,25/11/2008,46,Trading Economics
Official,Syrian Arab Republic,,SYP,26/11/2008,46,Trading Economics
Official,Syrian Arab Republic,,SYP,27/11/2008,46,Trading Economics
Official,Syrian Arab Republic,,SYP,28/11/2008,46,Trading Economics
Official,Syrian Arab Republic,,SYP,01/12/2008,46,Trading Economics
Official,Syrian Arab Republic,,SYP,02/12/2008,46,Trading Economics
Official,Syrian Arab Republic,,SYP,03/12/2008,46,Trading Economics
Official,Syrian Arab Republic,,SYP,04/12/2008,46,Trading Economics
Official,Syrian Arab Republic,,SYP,05/12/2008,46,Trading Economics
Official,Syrian Arab Republic,,SYP,08/12/2008,46,Trading Economics
Official,Syrian Arab Republic,,SYP,09/12/2008,46,Trading Economics
Official,Syrian Arab Republic,,SYP,10/12/2008,46,Trading Economics
Official,Syrian Arab Republic,,SYP,11/12/2008,46,Trading Economics
Official,Syrian Arab Republic,,SYP,12/12/2008,46,Trading Economics
Official,Syrian Arab Republic,,SYP,15/12/2008,46,Trading Economics
Official,Syrian Arab Republic,,SYP,16/12/2008,46,Trading Economics
Official,Syrian Arab Republic,,SYP,17/12/2008,46,Trading Economics
Official,Syrian Arab Republic,,SYP,18/12/2008,46,Trading Economics
Official,Syrian Arab Republic,,SYP,19/12/2008,46,Trading Economics
Official,Syrian Arab Republic,,SYP,22/12/2008,46,Trading Economics
Official,Syrian Arab Republic,,SYP,23/12/2008,46,Trading Economics
Official,Syrian Arab Republic,,SYP,24/12/2008,46,Trading Economics
Official,Syrian Arab Republic,,SYP,26/12/2008,46,Trading Economics
Official,Syrian Arab Republic,,SYP,29/12/2008,46,Trading Economics
Official,Syrian Arab Republic,,SYP,30/12/2008,46,Trading Economics
Official,Syrian Arab Republic,,SYP,31/12/2008,46,Trading Economics
Official,Syrian Arab Republic,,SYP,02/01/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,05/01/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,06/01/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,07/01/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,08/01/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,09/01/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,12/01/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,13/01/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,14/01/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,15/01/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,16/01/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,19/01/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,20/01/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,21/01/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,22/01/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,23/01/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,26/01/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,27/01/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,28/01/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,29/01/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,30/01/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,02/02/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,03/02/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,04/02/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,05/02/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,06/02/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,09/02/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,10/02/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,11/02/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,12/02/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,13/02/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,16/02/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,17/02/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,18/02/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,19/02/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,20/02/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,23/02/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,24/02/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,25/02/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,26/02/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,27/02/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,02/03/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,03/03/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,04/03/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,05/03/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,06/03/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,09/03/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,10/03/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,11/03/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,12/03/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,13/03/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,16/03/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,17/03/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,18/03/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,19/03/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,20/03/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,23/03/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,24/03/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,25/03/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,26/03/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,27/03/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,30/03/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,31/03/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,01/04/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,02/04/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,03/04/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,06/04/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,07/04/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,08/04/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,09/04/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,10/04/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,13/04/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,14/04/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,15/04/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,16/04/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,17/04/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,20/04/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,21/04/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,22/04/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,23/04/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,24/04/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,27/04/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,28/04/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,29/04/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,30/04/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,01/05/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,04/05/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,05/05/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,06/05/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,07/05/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,08/05/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,11/05/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,12/05/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,13/05/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,14/05/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,15/05/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,18/05/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,19/05/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,20/05/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,21/05/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,22/05/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,25/05/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,26/05/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,27/05/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,28/05/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,29/05/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,01/06/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,02/06/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,03/06/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,04/06/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,05/06/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,08/06/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,09/06/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,10/06/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,11/06/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,12/06/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,15/06/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,16/06/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,17/06/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,18/06/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,19/06/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,22/06/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,23/06/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,24/06/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,25/06/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,26/06/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,29/06/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,30/06/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,01/07/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,02/07/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,07/07/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,08/07/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,09/07/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,10/07/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,13/07/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,14/07/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,15/07/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,16/07/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,17/07/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,20/07/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,21/07/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,22/07/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,23/07/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,24/07/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,27/07/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,28/07/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,29/07/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,30/07/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,31/07/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,03/08/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,04/08/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,05/08/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,06/08/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,07/08/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,10/08/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,11/08/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,12/08/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,13/08/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,14/08/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,17/08/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,18/08/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,19/08/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,20/08/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,21/08/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,24/08/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,25/08/2009,46,Trading Economics
Official,Syrian Arab Republic,,SYP,26/08/2009,46,Trading Economics
