CountryName,Adm1Name,Adm2Name,MarketID,MarketName,SurveyID,SurveyDate,MFIRiskLevel,MFIScore,Assortment,Availability,Price,Resilience,Competition,Infrastructure,Service,Quality,AccessProtection,SurveyType
Syrian Arab Republic,Rural Damascus,Rural Damascus,2681,Kisweh,4970,22/01/2025,Very High Risk,3.8350648880004883,8.75,10,0,10,,,,,,Reduced
Syrian Arab Republic,Damascus,Damascus,1112,Sheikh Sa'ad,4970,22/01/2025,Low Risk,9.40625,8.75,10,10,10,,,,,,Reduced
Syrian Arab Republic,Dar'a,As-Sanamayn,1119,As-Sanamayn,4970,22/01/2025,Low Risk,6.79262638092041,7.5,10,5,10,,,,,,Reduced
Syrian Arab Republic,Idleb,Idleb,1550,Bennsh,4970,22/01/2025,Low Risk,7.1084065437316895,10,10,5,10,,,,,,Reduced
Syrian Arab Republic,Tartous,Sheikh Badr,5932,Sheikh Badr,4970,22/01/2025,Low Risk,6.79262638092041,7.5,10,5,10,,,,,,Reduced
Syrian Arab Republic,Homs,Tall Kalakh,2685,Hawash,4970,22/01/2025,Low Risk,9.641471862792969,10,10,9.166666984558105,10,,,,,,Reduced
Syrian Arab Republic,Hama,As-Salamiyeh,1948,As-Salamiyeh,4970,22/01/2025,Low Risk,6.581283092498779,10,5.833333492279053,5,10,,,,,,Reduced
Syrian Arab Republic,Ar-Raqqa,Ar-Raqqa,5253,Maadan,4970,22/01/2025,Low Risk,6.9506635665893555,8.75,10,5,10,,,,,,Reduced
Syrian Arab Republic,Dar'a,Izra',2523,Izr'a,4970,22/01/2025,Low Risk,7.1084065437316895,10,10,5,10,,,,,,Reduced
Syrian Arab Republic,Ar-Raqqa,Ar-Raqqa,1127,Ar-Raqqa,4970,22/01/2025,Very High Risk,3.991675853729248,10,10,0,10,,,,,,Reduced
Syrian Arab Republic,Tartous,Banyas,10474,Qadmous,4970,22/01/2025,Low Risk,6.9506635665893555,8.75,10,5,10,,,,,,Reduced
Syrian Arab Republic,Homs,Homs,1929,Inshaat,4970,22/01/2025,Low Risk,10,10,10,10,10,,,,,,Reduced
Syrian Arab Republic,Rural Damascus,At Tall,1549,At-Tall,4970,22/01/2025,Low Risk,7.625959873199463,10,10,5.833333492279053,10,,,,,,Reduced
Syrian Arab Republic,Deir-ez-Zor,Al Mayadin,5278,Quriyeh,4970,22/01/2025,Very High Risk,3.991675853729248,10,10,0,10,,,,,,Reduced
Syrian Arab Republic,Dar'a,Dar'a,1555,Mzeireb,4970,22/01/2025,Low Risk,6.79262638092041,7.5,10,5,10,,,,,,Reduced
Syrian Arab Republic,Aleppo,Al Bab,1144,Al Bab,4970,22/01/2025,Very High Risk,3.991675853729248,10,10,0,10,,,,,,Reduced
